,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
322,1,12,9,1,4,1,2018,13
323,0,23,9,1,4,1,2018,13
324,1,42,9,1,4,1,2018,15
325,1,81,9,1,4,1,2018,16
326,0,1,9,1,4,1,2018,17
327,1,23,9,1,4,1,2018,18
328,0,13,10,1,4,1,2018,18
329,1,53,9,1,4,1,2018,18
330,0,69,13,1,4,1,2018,19
331,1,90,9,1,4,1,2018,19
332,1,13,9,1,4,1,2018,19
333,0,24,9,1,4,1,2018,22
334,0,13,9,1,5,1,2018,1
335,1,51,9,1,5,1,2018,8
336,1,90,9,1,5,1,2018,8
337,1,12,9,1,5,1,2018,8
338,1,25,9,1,5,1,2018,9
339,1,87,9,1,5,1,2018,9
340,1,58,9,1,5,1,2018,9
341,1,75,9,1,5,1,2018,9
342,1,37,9,1,5,1,2018,9
343,1,69,9,1,5,1,2018,9
344,1,74,9,1,5,1,2018,10
345,1,23,9,1,5,1,2018,11
346,1,45,9,1,5,1,2018,12
347,1,12,9,1,5,1,2018,13
348,1,8,9,1,5,1,2018,15
349,1,13,9,1,5,1,2018,15
350,0,22,9,1,5,1,2018,15
351,1,69,9,1,5,1,2018,15
352,1,85,6,1,5,1,2018,16
353,1,31,9,1,5,1,2018,18
354,1,49,9,1,5,1,2018,20
355,0,8,9,1,5,1,2018,20
356,1,92,9,1,5,1,2018,20
357,1,78,9,1,5,1,2018,21
358,0,12,9,1,5,1,2018,22
359,1,81,9,1,5,1,2018,22
360,1,22,9,1,6,1,2018,2
361,1,1,6,1,6,1,2018,5
362,1,38,9,1,6,1,2018,6
363,1,46,9,1,6,1,2018,7
364,1,86,9,1,6,1,2018,8
365,1,1,9,1,6,1,2018,14
366,1,73,9,1,6,1,2018,16
367,1,12,9,1,6,1,2018,18
368,1,83,9,1,6,1,2018,19
369,1,74,9,1,6,1,2018,19
370,0,25,9,1,6,1,2018,20
371,1,81,9,1,0,1,2018,1
372,0,14,9,1,0,1,2018,2
373,1,1,6,1,0,1,2018,2
374,1,12,9,1,0,1,2018,7
375,1,85,2,1,0,1,2018,7
376,1,34,9,1,0,1,2018,8
377,1,7,9,1,0,1,2018,8
378,0,10,9,1,0,1,2018,8
379,1,90,9,1,0,1,2018,8
380,0,25,9,1,0,1,2018,9
381,1,40,9,1,0,1,2018,9
382,1,66,9,1,0,1,2018,11
383,0,45,9,1,0,1,2018,11
384,1,42,9,1,0,1,2018,11
385,1,78,9,1,0,1,2018,12
386,1,12,13,1,0,1,2018,12
387,0,39,2,1,0,1,2018,13
388,1,0,9,1,0,1,2018,14
389,1,35,9,1,0,1,2018,14
390,1,69,9,1,0,1,2018,14
391,0,37,2,1,0,1,2018,15
392,1,7,9,1,0,1,2018,15
393,1,60,9,1,0,1,2018,15
394,1,15,9,1,0,1,2018,15
395,1,75,9,1,0,1,2018,15
396,1,39,9,1,0,1,2018,15
397,1,1,9,1,0,1,2018,16
398,1,12,9,1,0,1,2018,16
399,1,45,9,1,0,1,2018,16
400,1,12,9,1,0,1,2018,16
